71 findings in CHANGELOG.md
tests\reports\RUST_LAUNCHER_TEST_REPORT.md:95:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
40 findings in tests\exploitation\EXPLOITATION_TEST_COVERAGE_REPORT.md
tests\exploitation\EXPLOITATION_TEST_COVERAGE_REPORT.md:52:1 MD007/ul-indent Unordered list indentation [Expected: 2; 
tests\exploitation\EXPLOITATION_TEST_COVERAGE_REPORT.md:53:1 MD007/ul-indent Unordered list indentation [Expected: 2; 
tests\exploitation\EXPLOITATION_TEST_COVERAGE_REPORT.md:54:1 MD007/ul-indent Unordered list indentation [Expected: 2; 
tests\exploitation\EXPLOITATION_TEST_COVERAGE_REPORT.md:55:1 MD007/ul-indent Unordered list indentation [Expected: 2; 
tests\exploitation\EXPLOITATION_TEST_COVERAGE_REPORT.md:60:1 MD007/ul-indent Unordered list indentation [Expected: 2; 
tests\exploitation\EXPLOITATION_TEST_COVERAGE_REPORT.md:62:1 MD007/ul-indent Unordered list indentation [Expected: 2; 
tests\exploitation\EXPLOITATION_TEST_COVERAGE_REPORT.md:63:1 MD007/ul-indent Unordered list indentation [Expected: 2; 
tests\exploitation\EXPLOITATION_TEST_COVERAGE_REPORT.md:64:1 MD007/ul-indent Unordered list indentation [Expected: 2; 
tests\exploitation\EXPLOITATION_TEST_COVERAGE_REPORT.md:67:1 MD007/ul-indent Unordered list indentation [Expected: 2; 
tests\exploitation\EXPLOITATION_TEST_COVERAGE_REPORT.md:68:1 MD007/ul-indent Unordered list indentation [Expected: 2; 
